iter	Passed	Remaining
586	1869	1315
587	1871	1311
588	1873	1307
589	1874	1302
590	1876	1298
591	1879	1295
592	1881	1291
593	1900	1299
594	1905	1297
595	1914	1297
596	1923	1298
597	1931	1298
598	1933	1294
599	1938	1292
600	1945	1291
601	1948	1287
602	1951	1284
603	1954	1281
604	1959	1279
605	1962	1275
606	1963	1271
607	1965	1267
608	1967	1263
609	1969	1259
610	1974	1256
611	1976	1253
612	1979	1249
613	1981	1245
614	1987	1244
615	1991	1241
616	1994	1238
617	2038	1259
618	2069	1273
619	2101	1287
620	2139	1305
621	2169	1318
622	2186	1323
623	2189	1319
624	2201	1320
625	2204	1317
626	2213	1316
627	2217	1313
628	2219	1309
629	2228	1308
630	2231	1304
631	2234	1300
632	2237	1297
633	2244	1295
634	2253	1295
635	2259	1293
636	2264	1290
637	2267	1286
638	2269	1282
639	2277	1280
640	2280	1277
641	2284	1273
642	2290	1271
643	2293	1267
644	2295	1263
645	2297	1259
646	2299	1254
647	2303	1251
648	2306	1247
649	2308	1243
650	2311	1239
651	2313	1234
652	2314	1229
653	2318	1226
654	2320	1222
655	2322	1217
656	2324	1213
657	2326	1209
658	2328	1204
659	2330	1200
660	2334	1197
661	2337	1193
662	2339	1189
663	2341	1184
664	2343	1180
665	2345	1176
666	2349	1172
667	2351	1168
668	2353	1164
669	2355	1160
670	2357	1156
671	2359	1151
672	2360	1147
673	2365	1144
674	2367	1139
675	2369	1135
676	2371	1131
677	2373	1127
678	2374	1122
679	2378	1119
680	2380	1115
681	2382	1111
682	2384	1106
683	2388	1103
684	2395	1101
685	2399	1098
686	2402	1094
687	2405	1090
688	2411	1088
689	2414	1084
690	2416	1080
691	2419	1076
692	2421	1072
693	2427	1070
694	2429	1066
695	2431	1062
696	2433	1057
697	2435	1053
698	2436	1049
699	2441	1046
700	2444	1042
701	2447	1039
702	2450	1035
703	2451	1030
704	2456	1027
705	2459	1024
706	2461	1019
707	2463	1015
708	2465	1011
709	2466	1007
710	2471	1004
711	2473	1000
712	2475	996
713	2477	992
714	2480	988
715	2482	984
716	2487	981
717	2488	977
718	2491	973
719	2492	969
720	2494	965
721	2496	961
722	2500	958
723	2502	954
724	2505	950
725	2506	946
726	2508	942
727	2510	938
728	2512	933
729	2516	930
730	2518	926
731	2520	922
732	2522	919
733	2524	914
734	2526	910
735	2528	907
736	2531	903
737	2533	899
738	2536	895
739	2538	891
740	2539	887
741	2541	883
742	2544	880
743	2547	876
744	2549	872
745	2551	868
746	2553	864
747	2555	860
748	2560	858
749	2562	854
750	2564	850
751	2566	846
752	2570	843
753	2573	839
754	2577	836
755	2579	832
756	2581	828
757	2587	826
758	2590	822
759	2594	819
760	2596	815
761	2598	811
762	2606	809
763	2610	806
764	2612	802
765	2624	801
766	2627	798
767	2630	794
768	2633	790
769	2637	787
770	2639	783
771	2641	780
772	2643	776
773	2645	772
774	2649	769
775	2652	765
776	2654	761
777	2655	757
778	2657	754
779	2660	750
780	2662	746
781	2665	743
782	2667	739
783	2668	735
784	2671	731
785	2673	727
786	2675	724
787	2679	720
788	2681	717
789	2683	713
790	2684	709
791	2686	705
792	2688	701
793	2690	697
794	2693	694
795	2695	690
796	2697	687
797	2699	683
798	2703	680
799	2707	676
800	2710	673
801	2712	669
802	2716	666
803	2719	662
804	2726	660
805	2729	656
806	2731	653
807	2733	649
808	2735	645
809	2741	643
810	2744	639
811	2747	636
812	2749	632
813	2750	628
814	2755	625
815	2757	621
816	2759	618
817	2762	614
818	2766	611
819	2770	608
820	2772	604
821	2774	600
822	2778	597
823	2780	593
824	2784	590
825	2787	587
826	2789	583
827	2791	579
828	2793	576
829	2795	572
830	2798	569
831	2801	565
832	2803	562
833	2804	558
834	2807	554
835	2809	551
836	2810	547
837	2813	543
838	2815	540
839	2817	536
840	2819	533
841	2821	529
842	2823	525
843	2826	522
844	2830	519
845	2833	515
846	2835	512
847	2837	508
848	2843	505
849	2845	502
850	2847	498
851	2848	494
852	2850	491
853	2852	487
854	2856	484
855	2859	481
856	2861	477
857	2863	473
858	2864	470
859	2866	466
860	2868	463
861	2872	459
862	2874	456
863	2876	452
864	2878	449
865	2880	445
866	2881	442
867	2883	438
868	2886	435
869	2888	431
870	2890	428
871	2892	424
872	2893	420
873	2895	417
874	2896	413
875	2900	410
876	2902	407
877	2903	403
878	2905	399
879	2907	396
880	2909	393
881	2911	389
882	2912	385
883	2916	382
884	2918	379
885	2920	375
886	2922	372
887	2925	368
888	2926	365
889	2931	362
890	2933	358
891	2935	355
892	2938	352
893	2945	349
894	2949	346
895	2951	342
896	2953	339
897	2955	335
898	2957	332
899	2962	329
900	2963	325
901	2966	322
902	2968	318
903	2970	315
904	2975	312
905	2977	308
906	2980	305
907	2981	302
908	2983	298
909	2986	295
910	2989	292
911	2992	288
912	2995	285
913	3001	282
914	3003	279
915	3007	275
916	3009	272
917	3011	268
918	3013	265
919	3015	262
920	3016	258
921	3029	256
922	3030	252
923	3032	249
924	3033	245
925	3037	242
926	3039	239
927	3041	235
928	3043	232
929	3045	229
930	3047	225
931	3050	222
932	3053	219
933	3055	215
934	3057	212
935	3059	209
936	3061	205
937	3063	202
938	3066	199
939	3068	195
940	3070	192
941	3072	189
942	3074	185
943	3075	182
944	3077	179
945	3080	175
946	3083	172
947	3085	169
948	3087	165
949	3089	162
950	3090	159
951	3092	155
952	3095	152
953	3097	149
954	3099	146
955	3100	142
956	3103	139
957	3104	136
958	3106	132
959	3108	129
960	3110	126
961	3113	122
962	3115	119
963	3116	116
964	3118	113
965	3120	109
966	3121	106
967	3124	103
968	3126	100
969	3128	96
970	3130	93
971	3131	90
972	3133	86
973	3134	83
974	3136	80
975	3140	77
976	3142	73
977	3144	70
978	3146	67
979	3148	64
980	3150	61
981	3153	57
982	3155	54
983	3157	51
984	3159	48
985	3161	44
986	3163	41
987	3164	38
988	3165	35
989	3168	32
990	3171	28
991	3172	25
992	3174	22
993	3176	19
994	3178	15
995	3179	12
996	3181	9
997	3184	6
998	3186	3
999	3187	0
